evaluations raw_y x0 x1
2 43.9580391715 2.650985 2.725451
3 37.1388966355 2.056443 2.297303
4 33.7522505107 1.701219 1.974005
7 17.1796257297 -0.165592 1.623954
8 11.7738035214 -0.546550 2.899199
9 8.2922990844 -1.085780 3.566989
13 6.9524072111 -1.493034 4.254040
14 6.6431465112 -1.532676 2.421937
18 3.2718615337 -2.780685 1.929399
19 3.2690057643 -2.160123 3.077392
20 2.5534475001 -3.062544 1.979951
23 1.3748936816 -2.847324 3.695047
26 0.7106300621 -3.530560 2.577245
27 0.6554194667 -3.312774 3.801133
32 0.2239636461 -3.610228 3.632067
36 0.1352513642 -3.645738 3.507577
47 0.0935052620 -3.782470 3.559816
103 0.0438337025 -3.775709 3.416802
119 0.0023835900 -4.002192 3.311130
392 0.0018868917 -3.993668 3.323176
564 0.0001984057 -3.966840 3.301593
1000 4.9875399867 -5.000000 1.333436
evaluations raw_y x0 x1
1 53.8649434959 1.569092 -4.533833
4 53.2244478903 1.613539 -4.440797
6 45.6075441599 2.379670 -2.847250
8 42.9482065920 1.646500 -3.401532
9 41.8107202012 1.470662 -3.453993
13 40.8763821670 2.250817 -2.406358
15 36.6271577095 1.115673 -3.220951
23 35.7878141354 0.912127 -3.312683
24 35.4766463728 1.317759 -2.880565
26 24.2895043072 -0.461000 -3.023670
27 13.2529224874 -0.866896 -1.743540
28 9.4842626488 -1.182644 -1.279251
31 5.6249179675 -2.181104 -1.036380
34 1.3843132435 -2.597441 0.084319
35 1.0375267561 -2.133395 0.722843
36 0.9302648791 -2.159169 1.545693
37 0.1285512846 -3.032688 0.812987
55 0.0663131087 -2.870319 0.984807
65 0.0039378551 -3.105297 1.145608
236 0.0012636717 -3.066600 1.201494
1000 0.5770508624 -2.301217 1.032037
evaluations raw_y x0 x1
1 45.8047559873 -3.673638 3.915029
2 44.0222197922 -3.882012 3.573619
3 41.1624718130 -4.001670 3.167805
6 34.3303854966 -3.632152 2.750845
8 28.1227228786 -3.079277 2.506134
12 23.2412513308 -2.858157 2.054558
13 22.8561788286 -3.445080 1.318234
15 9.9944591093 -2.247295 0.194254
16 8.6428140301 -2.434273 -1.999256
17 7.7233392898 -2.325089 -1.401608
18 4.4836516324 -0.754128 -3.188066
23 2.3770456266 0.621298 -2.981420
25 0.3405940278 1.010448 -1.623484
29 0.0929373467 0.633250 -1.695099
30 0.0259610167 0.292615 -1.455498
152 0.0139062046 0.410443 -1.558544
232 0.0064519719 0.395192 -1.393659
691 0.0039258858 0.430347 -1.506982
1000 1.0515037556 -0.137504 -2.286714
evaluations raw_y x0 x1
1 18.0501160113 0.375314 -3.112640
2 14.8071821733 -0.186640 -3.849253
3 14.4692171034 -0.200795 -3.744995
4 6.6491184007 -1.271970 -2.644190
7 4.7714818368 -1.762948 -2.029350
12 2.8074490778 -2.175915 -2.613232
13 1.7558135607 -2.779632 -3.453357
22 1.6143693714 -3.997553 -3.934828
25 1.5215864817 -5.000000 -3.120021
27 0.0313495926 -3.802689 -2.502291
32 0.0291830493 -3.781128 -2.828955
42 0.0049100146 -3.831461 -2.740264
81 0.0040258388 -3.853244 -2.736186
1000 3.5802051538 -1.985155 -2.354890
